"ID";"LIBELLE";"REGION_ID"
1;"DAKAR";1
2;"GUEDIAWAYE";1
3;"PIKINE";1
4;"RUFISQUE";1
5;"BAMBEY";2
6;"DIOURBEL";2
7;"MBACKE";2
8;"FATICK";3
9;"FOUNDIOUGNE";3
10;"GOSSAS";3
11;"BIRKILANE";4
12;"KAFFRINE";4
13;"KOUNGHEUL";4
14;"MALEM HODAR";4
15;"GUINGUINEO";5
16;"KAOLACK";5
17;"NIORO DU RIP";5
18;"KEDOUGOU";6
19;"SALEMATA";6
20;"SARAYA";6
21;"KOLDA";7
22;"MEDINA YORO FOULAH";7
23;"VELINGARA";7
24;"KEBEMER";8
25;"LINGUERE";8
26;"LOUGA";8
27;"KANEL";9
28;"MATAM";9
29;"RANEROU FERLO";9
30;"DAGANA";10
31;"PODOR";10
32;"SAINT LOUIS";10
33;"BOUNKILING";11
34;"GOUDOMP";11
35;"SEDHIOU";11
36;"BAKEL";12
37;"GOUDIRY";12
38;"KOUMPENTOUM";12
39;"TAMBACOUNDA";12
40;"MBOUR";13
41;"THIES";13
42;"TIVAOUANE";13
43;"BIGNONA";14
44;"OUSSOUYE";14
45;"ZIGUINCHOR";14
