"ID";"LIBELLE"
1;"Afghanistan"
2;"Afrique du Sud"
3;"Albanie"
4;"Algérie"
5;"Allemagne"
6;"Andorre"
7;"Angola"
8;"Anguilla"
9;"Antigua"
10;"Antilles néerlandaises"
11;"Arabie Saoudite"
12;"Argentine"
13;"Arménie"
14;"Aruba"
15;"Australie"
16;"Autriche"
17;"Azerbaïdjan"
18;"Bahamas"
19;"Bahrein"
20;"Bangladesh"
21;"Barbade"
22;"Belgique"
23;"Belize"
24;"Bénin"
25;"Bermudes"
26;"Bhoutan"
27;"Biélorussie (Bélarus)"
28;"Birmanie"
29;"Bolivie"
30;"Bosnie-Herzégovine"
31;"Botswana"
32;"Brésil"
33;"Brunei Darussalam"
34;"Bulgarie"
35;"Burkina Faso"
36;"Burundi"
37;"Cambodge"
38;"Cameroun"
39;"Canada"
40;"Cap Vert"
41;"Cayman"
42;"Centrafrique"
43;"Chili"
44;"Chine"
45;"Chypre"
46;"Colombie"
47;"Comores"
48;"Congo (Brazzaville)"
49;"Corée du Nord"
50;"Corée du Sud"
51;"Costa Rica"
52;"Côte d'Ivoire"
53;"Croatie"
54;"Cuba"
55;"Danemark"
56;"diverses îles des Etats-U"
57;"Djibouti"
58;"Dominique"
59;"Egypte"
60;"El Salvador"
61;"Emirats Arabes unis"
62;"Equateur"
63;"Erythrée"
64;"Espagne"
65;"Estonie"
66;"Etats-Unis"
67;"Ethiopie"
68;"ex-Union Soviétique"
69;"ex-Yougoslavie"
70;"Falkland"
71;"Féroé"
72;"Fidji"
73;"Finlande"
74;"France"
75;"France métropolitaine"
76;"Gabon"
77;"Gambie"
78;"Géorgie"
79;"Ghana"
80;"Gibraltar"
81;"Grande-Bretagne"
82;"Grèce"
83;"Grenade"
84;"Groenland (Danemark)"
85;"Guadeloupe"
86;"Guam (USA)"
87;"Guatemala"
88;"Guinée (Conakry)"
89;"Guinée Bissau"
90;"Guyane"
91;"Guyane française"
92;"Haïti"
93;"Honduras"
94;"Hong Kong"
95;"Hongrie"
96;"Ile Christmas"
97;"Ile Maurice"
98;"Iles Bouvet"
99;"Iles Cocos"
100;"Iles Cook"
101;"Iles Heard et Mac Donald"
102;"Iles Salomon"
103;"Iles Svalbaard et Jan May"
104;"Iles Turques et Caïques"
105;"Iles Vierges britanniques"
106;"Iles Vierges des Etats-Un"
107;"Inde"
108;"Indonésie"
109;"Irak"
110;"Iran"
111;"Irlande"
112;"Islande"
113;"Israël"
114;"Italie"
115;"Jamaïque"
116;"Japon"
117;"Jordanie"
118;"Kazakhstan"
119;"Kenya"
120;"Kirghizistan"
121;"Kiribati"
122;"Koweït"
123;"Laos"
124;"Lesotho"
125;"Lettonie"
126;"Liban"
127;"Libéria"
128;"Libye"
129;"Liechtenstein"
130;"Lituanie"
131;"Luxembourg"
132;"Macao"
133;"Madagascar"
134;"Malaisie"
135;"Malawi"
136;"Maldives"
137;"Mali"
138;"Malte"
139;"Maroc"
140;"Martinique"
141;"Mauritanie"
142;"Mayotte"
143;"Mexique"
144;"Micronésie"
145;"Moldavie"
146;"Monaco"
147;"Mongolie"
148;"Monténégro"
149;"Montserrat"
150;"Mozambique"
151;"Namibie"
152;"Nauru"
153;"Népal"
154;"Nicaragua"
155;"Niger"
156;"Nigéria"
157;"Niue"
158;"Norfolk"
159;"Norvège"
160;"Nouvelle Calédonie"
161;"Nouvelle Zélande"
162;"Oman"
163;"Ouganda"
164;"Ouzbékistan"
165;"Pakistan"
166;"Palau"
167;"Panama"
168;"Papouasie Nouvelle Guinée"
169;"Paraguay"
170;"Pays-Bas"
171;"Pérou"
172;"Philippines"
173;"Pitcairn"
174;"Pologne"
175;"Polynésie française"
176;"Porto-Rico"
177;"Portugal"
178;"Qatar"
179;"République de Macédoine"
180;"République Démocratique d"
181;"République dominicaine"
182;"République Slovaque"
183;"République Tchèque"
184;"Réunion"
185;"Roumanie"
186;"Russie"
187;"Rwanda"
188;"Sahara occidental"
189;"Saint Kitts et Nevis"
190;"Saint Pierre et Miquelon"
191;"Saint Tomé et Principe"
192;"Saint Vincent et Grenadin"
193;"Sainte Hélène"
194;"Sainte Lucie"
195;"Samoa américain"
196;"Samoa occidental"
197;"San Marin"
198;"Sénégal"
199;"Serbie"
200;"Seychelles"
201;"Sierra Leone"
202;"Singapour"
203;"Slovénie"
204;"Somalie"
205;"Soudan"
206;"Soudan du Sud"
207;"Sri Lanka"
208;"Suède"
209;"Suisse"
210;"Suriname"
211;"Swaziland"
212;"Syrie"
213;"Tadjikistan"
214;"Taïwan"
215;"Tanzanie"
216;"Tchad"
217;"Territoire austral frança"
218;"Territoires britanniques "
219;"Thaïlande"
220;"Timor oriental"
221;"Togo"
222;"Tokelau"
223;"Tonga"
224;"Trinité et Tobago"
225;"Tunisie"
226;"Turkménistan"
227;"Turquie"
228;"Tuvalu"
229;"Ukraine"
230;"Union Européenne"
231;"Uruguay"
232;"Vanuatu"
233;"Vatican"
234;"Vénézuela"
235;"Vietnam"
236;"Wallis et Futuna"
237;"Yemen"
238;"Zambie"
239;"Zimbabwe"
